incident_administrative_unit,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,calfire_incident,mean_temperature,Population,incident_days,month_extinguished
CAL FIRE / Sacramento Metropolitan Fire,"El Dorado, Sacramento",163.0,-121.08438,38.63987,Unknown,True,24.584833,1770924,0.0,7
CAL FIRE / Riverside County Fire,Riverside,40.0,-117.2508,33.9634,Unknown,True,26.858541,2429487,1.0,7
CAL FIRE / Riverside County Fire,Riverside,15.0,-117.09306,33.94528,Unknown,True,27.233332,2429487,0.0,7
CAL FIRE Tuolumne-Calaveras Unit,Calaveras,31.0,-120.696362,37.965364,Unknown,True,25.807877,45674,1.0,7
Stanislaus National Forest,Tuolumne,1070.0,-120.02778,38.25108,Unknown,False,20.789957,54993,9.0,8
Cleveland National Forest / CAL FIRE Riverside Unit,Riverside,1383.0,-117.40288,33.62236,Unknown,True,20.997416,2429487,4.0,8
San Bernardino National Forest,Riverside,60.0,-116.61,38.838,Unknown,False,17.04925,2429487,2.0,8
CAL FIRE Sanoma-Lake-Napa Unit,Lake,38.0,-122.5906,39.1591,Unknown,True,22.921835,68024,0.0,8
CAL FIRE Riverside Unit / San Bernardino National Forest,Riverside,20292.0,-116.90427,33.86157,Unknown,True,17.046238,2429487,5.0,8
Six Rivers National Forest,Humboldt,12503.0,-123.488,41.035,Unknown,False,14.531416,136132,2.0,8
CAL FIRE Siskiyou Unit,Siskiyou,50.0,-122.578393,41.923323,Unknown,True,24.814249,44049,0.0,8
CAL FIRE Amador-El Dorado Unit,El Dorado,116.0,-120.839075,38.682378,Unknown,True,25.402166,191713,0.0,8
Angeles National Forest,San Bernardino,243.0,-117.62,34.35,Unknown,False,18.427055,2180563,5.0,8
CAL FIRE Shasta-Trinity Unit,Shasta,27.0,-122.48259,40.473356,Unknown,True,27.293417,181852,0.0,8
CAL FIRE Butte Unit,Butte,2264.0,-121.38236,39.446268,Unknown,True,16.792835,213605,6.0,8
Tahoe National Forest,Placer,27440.0,-120.65,39.12,Unknown,False,20.21666,406608,20.0,8
CAL FIRE Lassen-Modoc Unit,Lassen,97.0,-120.958126,40.88886,Unknown,True,17.418041,31873,3.0,8
CAL FIRE/Riverside County Fire,Riverside,40.0,-116.10815,33.570291,Unknown,True,36.97858,2429487,0.0,8
CAL FIRE Sonoma-Lake-Napa Unit,Lake,70.0,-122.491894,39.013682,Unknown,True,27.62339,68024,2.0,8
CAL FIRE Tuolumne-Calaveras Unit,Calaveras,46.0,-120.45233,38.06231,Unknown,True,26.8015,45674,2.0,8
San Bernardino National Forest,San Bernardino,110.0,-117.451,34.287,Unknown,False,27.480875,2180563,1.0,8
CAL FIRE Shasta-Trinity Unit,Shasta,8073.0,-122.535496,40.498332,Unknown,True,27.654251,181852,6.0,9
Plumas National Forest,Plumas,513.0,-120.764666,40.00842,Unknown,False,20.246023,19650,7.0,8
Sequoia National Forest,Kern,794.0,-118.588,35.707,Unknown,False,22.215631,906883,6.0,8
CAL FIRE Shasta Unit ,Shasta,196.0,-121.3754,40.5445,Unknown,True,19.622002,181852,4.0,8
San Bernardino National Forest/CAL FIRE San Bernardino Unit,San Bernardino,200.0,-117.417,34.2,Unknown,False,20.022013,2180563,6.0,9
CAL FIRE Tehama-Glenn Unit,Tehama,11429.0,-121.85397,40.04263,Unknown,True,23.599083,65484,6.0,8
San Bernardino National Forest,San Bernardino,413.0,-117.598,34.302,Unknown,False,20.881165,2180563,0.0,8
Sequoia National Forest,Tulare,2060.0,-118.444,36.208,Unknown,False,18.420948,473446,31.0,9
CAL FIRE Amador-El Dorado Unit,El Dorado,38.0,-120.84716,38.89555,Unknown,True,21.501,191713,0.0,8
San Bernardino National Forest,San Bernardino,97.0,-116.706,33.642,Unknown,False,19.391226,2180563,6.0,8
CAL FIRE San Mateo-Santa Cruz Unit,San Mateo,41.0,-122.427285,37.667295,Unknown,True,24.622583,754250,0.0,9
CAL FIRE Santa-Clara Unit,Contra Costa,3111.0,-121.882582,37.90757,Unknown,True,20.3995,1162648,6.0,9
Sequoia National Forest,Tulare,134.0,-118.459,36.258,Unknown,False,12.396319,473446,16.0,9
CAL FIRE San Bernardino Unit,San Bernardino,73.0,-117.106075,34.003151,Unknown,True,24.18029,2180563,1.0,9
Angeles National Forest/Los Angeles County Fire,Los Angeles,268.0,-117.908,34.149,Unknown,False,20.903875,9936690,5.0,9
Modoc National Forest ,Modoc,97.0,-120.375,41.73325,Unknown,False,17.146812,8651,19.0,9
CAL FIRE Nevada-Yuba-Placer Unit,Nevada,52.0,-121.107022,39.333401,Unknown,True,24.995667,102322,0.0,8
CAL FIRE Butte Unit,Butte,80.0,-121.713938,39.731878,Unknown,True,27.482336,213605,1.0,9
Stanislaus National Forest/Yosemite National Park,Tuolumne,257314.0,-120.086,37.857,Unknown,True,23.641523,54993,20.0,9
CAL FIRE San Diego Unit / Cleveland National Forest,San Diego,263.0,-116.746023,32.710918,Unknown,True,22.005707,3289701,3.0,9
CAL FIRE Sonoma-Lake-Napa Unit,Lake,30.0,-122.683,38.9777,Unknown,True,21.72875,68024,0.0,9
